ici	ADV	ici
Alexandre	PROPN	Alexandre
avec	ADP	avec
retenir	VERB	retenir
Bernardin	PROPN	Bernardin
presque	ADV	presque
être	ADV	être
Khaï	X	Khaï
ventre	NOUN	ventre
étais	AUX	être
qui	PRON	qui
vrai	ADJ	vrai
solennité	NOUN	solennité
la	DET	le
avait	AUX	avoir
était	AUX	être
Rien	PROPN	Rien
bureau	NOUN	bureau
tifs	NOUN	tif
sculpté	VERB	sculpter
système	NOUN	système
lumière	NOUN	lumière
mourraient	ADV	mourraient
ça	PRON	cela
conviendrait	VERB	convenir
les	DET	le
votre	DET	votre
le	DET	le
conçue	ADJ	concevoir
la	DET	le
durée	NOUN	durée
Il	PRON	il
et	CCONJ	et
oublier	VERB	oublier
la	DET	le
sans	ADP	sans
puisque	SCONJ	puisque
au	ADP	au
son	DET	son
des	ADP	de
jumeaux	NOUN	jumeau
de	ADP	de
faire	VERB	faire
caressa	VERB	caresser
est	AUX	être
Celui	PROPN	Celui
pour	ADP	pour
Si	SCONJ	si
de	ADP	de
allais	X	aller
tête	NOUN	tête
de	ADP	de
patron	NOUN	patron
Dieu	PROPN	Dieu
ou	CCONJ	ou
irrésistible	ADJ	irrésistible
pas	ADV	pas
faisait	VERB	faire
parisienne	ADJ	parisien
murmura	VERB	murmurer
seulement	ADV	seulement
pansements	NOUN	pansement
Je	PRON	je
passer	VERB	passer
mettre	VERB	mettre
suis	AUX	être
en	ADP	en
vérité	NOUN	vérité
pas	ADV	pas
chose	NOUN	chose
lit	NOUN	lit
ils	PRON	il
effet	NOUN	effet
Quand	SCONJ	quand
Pendant	ADP	pendant
Il	PRON	il
Elle	PRON	lui
âmes	NOUN	âme
en	ADP	en
suite	NOUN	suite
et	CCONJ	et
aux	ADP	à
leurs	DET	leur
de	ADP	de
qu'	SCONJ	que
égalée	NOUN	égalée
ne	ADV	ne
le	DET	le
les	DET	le
est	AUX	être
tard	ADV	tard
depuis	ADP	depuis
Je	PRON	je
toujours	ADV	toujours
ma	DET	mon
replié	VERB	replier
berceaux	NOUN	berceau
Elle	PRON	lui
tu	SCONJ	tu
escalier	NOUN	escalier
interdit	VERB	interdire
verre	NOUN	verre
pêle-mêle	X	pêle-mêle
verra	VERB	voir
cheval	NOUN	cheval
avoir	AUX	avoir
écart	NOUN	écart
la	DET	le
eux	PRON	lui
une	DET	un
professionnel	ADJ	professionnel
Au	ADP	au
serveuse	NOUN	serveuse
en	ADP	en
individualités	NOUN	individualité
sa	DET	son
advînt	NOUN	advînt
la	DET	le
ton	ADJ	ton
jeune	ADJ	jeune
de	ADP	de
pas	ADV	pas
savez	VERB	savoir
ailleurs	ADV	ailleurs
que	SCONJ	que
mère	NOUN	mère
heures	NOUN	heure
poussière	NOUN	poussière
inconnus	VERB	inconnus
bord	NOUN	bord
monde	NOUN	monde
qu'	SCONJ	que
malade	ADJ	malade
martelant	VERB	marteler
Jackknife	PROPN	Jackknife
ça	PRON	cela
vraiment	ADV	vraiment
le	DET	le
au	ADP	au
reconnue	VERB	reconnaître
égoïste	ADJ	égoïste
Corée	NOUN	corée
ou	CCONJ	ou
vie	NOUN	vie
le	DET	le
un	DET	un
disais	VERB	dire
les	DET	le
vu	VERB	voir
trois	PRON	trois
une	DET	un
On	PRON	on
bouleversement	NOUN	bouleversement
dans	ADP	dans
que	SCONJ	que
Parce	SCONJ	parce
étalait	VERB	étaler
osa	VERB	oser
allez	VERB	aller
train	NOUN	train
nous	PRON	nous
mais	CCONJ	mais
avait	AUX	avoir
grave	ADJ	grave
espace	NOUN	espace
Pleyel	PROPN	Pleyel
Toi	ADV	toi
soufflait	VERB	souffler
épistolière	NOUN	épistolier
Ce	PRON	ce
allez	VERB	aller
excuses	NOUN	excuse
servir	VERB	servir
cabine	ADJ	cabin
de	ADP	de
Seulement	ADV	seulement
venus	VERB	venir
abayas	NOUN	abaya
des	DET	un
COLLECTIONNEUR	NOUN	collectionneur
Il	PRON	il
articulation	NOUN	articulation
Elle	PRON	lui
là	ADV	là
ai	AUX	avoir
est	AUX	être
chevelure	NOUN	chevelure
je	PRON	je
un	DET	un
fois	NOUN	fois
ignore	VERB	ignore
là	ADV	là
la	DET	le
te	ADV	te
de	ADP	de
Il	PRON	il
joue	VERB	joue
de	ADP	de
tira	NOUN	tira
Je	PRON	je
joug	VERB	joug
col	NOUN	col
de	ADP	de
écartait	VERB	écarter
un	DET	un
pas	ADV	pas
as	NOUN	as
Gêné	NOUN	gêné
tasse	NOUN	tasse
cet	DET	ce
cas	NOUN	cas
eux	PRON	lui
Mais	CCONJ	mais
efforcerai	VERB	efforcer
muet	ADJ	muet
tu	ADP	tu
être	AUX	être
même	ADV	même
tu	SCONJ	tu
au	ADP	au
la	DET	le
cocktail	NOUN	cocktail
visite	NOUN	visite
entendre	VERB	entendre
voix	NOUN	voix
petite	ADJ	petit
cette	DET	ce
elle	PRON	lui
demanda	ADJ	demanda
Lia	INTJ	Lia
ses	DET	son
Vous	PRON	vous
tu	PRON	tu
était	AUX	être
en	ADP	en
devant	ADP	devant
devant	ADP	devant
le	DET	le
jusqu'	ADP	jusque
mais	CCONJ	mais
bien	ADV	bien
bâillon	NOUN	bâillon
dessus	NOUN	dessus
Je	PRON	je
sens	NOUN	sens
certitude	NOUN	certitude
avant	ADP	avant
dans	ADP	dans
superbement	ADV	superbement
Comment	ADV	comment
des	DET	un
suivi	VERB	suivre
Malin	PROPN	Malin
en	ADP	en
ils	PRON	il
qui	PRON	qui
entités	NOUN	entité
jeu	NOUN	jeu
de	ADP	de
il	PRON	il
bien	ADV	bien
de	ADP	de
milieu	NOUN	milieu
louchant	VERB	loucher
il	PRON	il
longueur	NOUN	longueur
disais	VERB	dire
qu'	SCONJ	que
nous	PRON	nous
entendre	VERB	entendre
Norma	PROPN	Norma
occasion	NOUN	occasion
en	ADP	en
compte	NOUN	compte
De	ADP	de
est	AUX	être
présentera	VERB	présenter
pestilence	NOUN	pestilence
légers	ADJ	léger
passait	VERB	passer
sandwichs	NOUN	sandwich
certainement	ADV	certainement
sans	ADP	sans
et	CCONJ	et
visite	NOUN	visite
pouvoir	VERB	pouvoir
endormi	ADV	endormi
un	DET	un
pu	VERB	pouvoir
en	ADP	en
la	DET	le
dit	VERB	dire
de	ADP	de
anciennes	ADJ	ancien
ça	PRON	cela
est	VERB	être
histoire	NOUN	histoire
sol	NOUN	sol
programmé	VERB	programmer
Greg	NOUN	greg
puis	CCONJ	puis
dire	VERB	dire
Assassinée	VERB	assassiner
la	DET	le
de	ADP	de
il	PRON	il
avait	VERB	avoir
Et	CCONJ	et
ont	AUX	avoir
était	AUX	être
diriger	VERB	diriger
pas	ADV	pas
de	ADP	de
Je	PRON	je
les	DET	le
pas	ADV	pas
avoir	AUX	avoir
des	ADP	de
je	PRON	je
courir	VERB	courir
Isabelle	PROPN	Isabelle
les	DET	le
de	ADP	de
tablier	NOUN	tablier
possible	ADJ	possible
du	ADP	de
Alex	PROPN	Alex
une	DET	un
du	ADP	de
était	AUX	être
heures	NOUN	heure
France	PROPN	France
la	DET	le
là	ADV	là
et	CCONJ	et
écho	NOUN	écho
sans	ADP	sans
de	ADP	de
un	DET	un
géniteurs	NOUN	géniteur
ne	ADV	ne
et	CCONJ	et
bras	NOUN	bras
apparaissaient	VERB	apparaître
il	PRON	il
je	PRON	je
veillent	VERB	veiller
que	SCONJ	que
savoir	VERB	savoir
que	SCONJ	que
trajet	NOUN	trajet
qu'	SCONJ	que
lu	ADP	lu
affublaient	ADV	affublaient
du	ADP	de
la	DET	le
immatérielle	ADJ	immatériel
mobilier	NOUN	mobilier
