et	CCONJ	et
Depuis	ADP	depuis
un	DET	un
chèque	NOUN	chèque
aurais	VERB	avoir
mais	CCONJ	mais
il	PRON	il
que	PRON	que
avait	AUX	avoir
ce	PRON	ce
écrasa	VERB	écraser
contradictoire	ADJ	contradictoire
de	ADP	de
est	AUX	être
champagne	NOUN	champagne
réservait	VERB	réserver
femmes	NOUN	femme
traits	NOUN	trait
Robert	PROPN	Robert
de	ADP	de
chasseurs	NOUN	chasseur
je	PRON	je
nid	NOUN	nid
que	SCONJ	que
Je	PRON	je
Vous	PRON	vous
sont	AUX	être
pour	ADP	pour
devrait	VERB	devoir
un	DET	un
soi	ADV	soi
vers	ADP	vers
au	ADP	au
de	ADP	de
Le	DET	le
plus	ADV	plus
cet	DET	ce
trop	ADV	trop
façon	NOUN	façon
où	PRON	où
conneries	NOUN	connerie
un	DET	un
reprendre	VERB	reprendre
Dr	NOUN	dr
Brésil	PROPN	Brésil
on	PRON	on
est	AUX	être
et	CCONJ	et
on	PRON	on
réplique	NOUN	réplique
de	ADP	de
je	PRON	je
le	PRON	le
sert	VERB	servir
métier	NOUN	métier
Marseille	PROPN	Marseille
Chemin	NOUN	chemin
tonicité	NOUN	tonicité
dos	NOUN	dos
le	DET	le
sanglots	NOUN	sanglot
publicité	NOUN	publicité
ciel	NOUN	ciel
elle	PRON	lui
carreaux	NOUN	carreau
est	AUX	être
mirent	VERB	mettre
au	ADP	au
de	ADP	de
qu'	SCONJ	que
Allons	NOUN	allon
joie	NOUN	joie
atteint	VERB	atteindre
chair	NOUN	chair
préoccupation	NOUN	préoccupation
elle	PRON	lui
Evidemment	ADV	evidemment
long	ADJ	long
Juliet	PROPN	Juliet
Il	PRON	il
par	ADP	par
elle	PRON	lui
disposons	VERB	disposer
désigna	VERB	désigner
et	CCONJ	et
doit	VERB	devoir
de	ADP	de
de	ADP	de
vos	DET	votre
était	AUX	être
répandit	VERB	répandre
mauvais	NOUN	mauvais
il	PRON	il
domaine	NOUN	domaine
de	ADP	de
faire	VERB	faire
mûre	ADJ	mûr
penser	VERB	penser
très	ADV	très
moi	ADJ	moi
qui	PRON	qui
faites	NOUN	faite
de	ADP	de
pourrez	VERB	pouvoir
