racontiez	VERB	raconter
assez	ADV	assez
Hilary	PROPN	Hilary
la	DET	le
frère	NOUN	frère
tissu	NOUN	tissu
allumé	NOUN	allumé
abandonné	VERB	abandonner
mais	CCONJ	mais
revint	VERB	revenir
de	ADP	de
cria	ADV	cria
dans	ADP	dans
le	DET	le
génération	NOUN	génération
se	PRON	se
sang	NOUN	sang
la	DET	le
frémissaient	VERB	frémir
mourir	VERB	mourir
qu'	PRON	qu'
aussi	ADV	aussi
Et	CCONJ	et
vile	ADJ	vil
parler	VERB	parler
Ma	DET	mon
que	SCONJ	que
brume	NOUN	brume
des	DET	un
que	SCONJ	que
quitté	VERB	quitter
sur	ADP	sur
ma	DET	mon
parut	PROPN	paraître
de	ADP	de
lieu	NOUN	lieu
un	DET	un
un	DET	un
dû	VERB	devoir
bourgeron	ADV	bourgeron
raconte	ADJ	racont
était	AUX	être
errantes	NOUN	errante
la	DET	le
enjoliveur	NOUN	enjoliveur
et	CCONJ	et
qu'	SCONJ	que
vilains	ADJ	vilain
toute	ADJ	tout
de	ADP	de
de	ADP	de
Boucan	PROPN	Boucan
Jill	PROPN	Jill
contre	ADP	contre
monté	VERB	monter
il	PRON	il
Arrête	NOUN	arrête
son	DET	son
est	VERB	être
ombres	NOUN	ombre
penses	NOUN	pense
relever	VERB	relever
aussitôt	ADV	aussitôt
et	CCONJ	et
ai	AUX	avoir
de	ADP	de
devant	ADP	devant
pastel	ADJ	pastel
Vous	PRON	vous
éloignant	VERB	éloigner
la	DET	le
effet	NOUN	effet
cachent	VERB	cacher
se	PRON	se
pu	VERB	pouvoir
retrouva	VERB	retrouver
les	DET	le
deux	PRON	deux
la	DET	le
mère	NOUN	mère
soufflait	VERB	souffler
Son	DET	son
homme	NOUN	homme
Comme	ADP	comme
anatomique	ADJ	anatomique
faute	NOUN	faute
plats	NOUN	plat
et	CCONJ	et
avec	ADP	avec
tu	SCONJ	tu
dépassait	VERB	dépasser
volonté	NOUN	volonté
Béru	VERB	béru
vent	NOUN	vent
Ford	NOUN	ford
contre	ADP	contre
dois	VERB	devoir
pour	ADP	pour
considéré	VERB	considérer
télévision	NOUN	télévision
avait	AUX	avoir
Xiaoping	PROPN	Xiaoping
linge	NOUN	linge
sept	NUM	sept
imprudemment	ADV	imprudemment
sirènes	NOUN	sirène
ou	CCONJ	ou
voile	NOUN	voile
quelques	DET	quelque
encore	ADV	encore
puissance	NOUN	puissance
serait	AUX	être
Or	CCONJ	or
un	DET	un
bien	ADV	bien
lui	ADJ	lui
du	ADP	de
était	AUX	être
le	DET	le
est	AUX	être
de	ADP	de
coupures	ADJ	coupure
incitaient	VERB	inciter
tourna	VERB	tourner
attends	VERB	attendre
la	DET	le
instant	NOUN	instant
page	NOUN	page
lui	PRON	lui
son	DET	son
est	AUX	être
mains	NOUN	main
eux	PRON	lui
de	ADP	de
serai	VERB	être
qui	PRON	qui
Hélas	INTJ	Hélas
essentiel	NOUN	essentiel
leurs	DET	leur
le	DET	le
monde	NOUN	monde
je	PRON	je
et	CCONJ	et
mena	NOUN	mena
une	DET	un
la	DET	le
que	SCONJ	que
ainsi	ADV	ainsi
les	DET	le
ils	PRON	il
venu	VERB	venir
pur	ADJ	pur
comme	ADP	comme
la	DET	le
boîte	NOUN	boîte
était	AUX	être
dédia	VERB	dédier
des	DET	un
Golf	PROPN	Golf
qu'	SCONJ	que
remplir	VERB	remplir
un	DET	un
le	DET	le
elle	PRON	lui
nuit	NOUN	nuit
passer	VERB	passer
un	DET	un
établissements	NOUN	établissement
rester	VERB	rester
souriait	VERB	sourire
visibles	ADJ	visible
ne	ADV	ne
brève	ADJ	bref
le	DET	le
Wyatt	PROPN	Wyatt
cuisine	NOUN	cuisine
les	DET	le
humour	NOUN	humour
le	PRON	le
contempler	VERB	contempler
vu	VERB	voir
