pour	ADP	pour
pas	ADV	pas
étonnant	ADJ	étonnant
rompu	ADJ	rompre
tu	SCONJ	tu
la	DET	le
recommence	VERB	recommencer
de	ADP	de
il	PRON	il
accordai	ADJ	accordai
il	PRON	il
la	DET	le
en	ADP	en
dans	ADP	dans
veux	VERB	vouloir
au	ADP	au
approuva	VERB	approuver
affaires	NOUN	affaire
lui	PRON	lui
point	NOUN	point
coupé	VERB	couper
Une	DET	un
Ian	PROPN	Ian
temps	NOUN	temps
tête	NOUN	tête
de	ADP	de
agirait	VERB	agir
quelque	DET	quelque
réponse	NOUN	réponse
déjà	ADV	déjà
Victor	PROPN	Victor
hâta	VERB	hâter
toutes	ADJ	tout
Alors	ADV	alors
Vito	PROPN	Vito
ce	DET	ce
longtemps	ADV	longtemps
entendait	VERB	entendre
pas	ADV	pas
Sans	ADP	sans
prêts	ADJ	prêt
on	PRON	on
de	ADP	de
doute	VERB	doute
de	ADP	de
que	SCONJ	que
téléphonait	VERB	téléphoner
Bérard	PROPN	Bérard
regretté	VERB	regretter
était	AUX	être
obséquiosité	NOUN	obséquiosité
Blanc	NOUN	blanc
dans	ADP	dans
qui	PRON	qui
voix	NOUN	voix
Quand	SCONJ	quand
vue	NOUN	vue
je	PRON	je
absence	NOUN	absence
revolver	VERB	revolver
pour	ADP	pour
la	DET	le
il	PRON	il
le	DET	le
ne	ADV	ne
Tu	ADP	tu
plage	NOUN	plage
passait	VERB	passer
serait	AUX	être
qui	PRON	qui
baignait	VERB	baigner
amont	NOUN	amont
meure	ADJ	meur
whisky	NOUN	whisky
de	ADP	de
je	PRON	je
qui	PRON	qui
sur	ADP	sur
de	ADP	de
travailler	VERB	travailler
recul	NOUN	recul
quelques	DET	quelque
RALLYE	NOUN	rallye
possible	ADJ	possible
autre	ADJ	autre
lui	PRON	lui
passait	VERB	passer
et	CCONJ	et
En	ADP	en
se	PRON	se
les	DET	le
trahissaient	VERB	trahir
ce	DET	ce
fin	NOUN	fin
un	DET	un
présent	NOUN	présent
Marion	NOUN	marion
vers	ADP	vers
en	ADP	en
tu	PRON	tu
Fermez	PROPN	Fermez
ces	DET	ce
Non	ADV	non
de	ADP	de
recherchait	VERB	rechercher
égaler	VERB	égaler
mettre	VERB	mettre
Godefroi	NOUN	godefroi
major	NOUN	major
sur	ADP	sur
et	CCONJ	et
fait	VERB	faire
des	DET	un
tu	ADP	tu
vous	PRON	vous
enclos	VERB	enclore
les	DET	le
le	DET	le
dans	ADP	dans
peu	ADV	peu
dit	VERB	dire
cet	DET	ce
les	DET	le
toutes	ADJ	tout
ans	NOUN	an
attendait	VERB	attendre
Aquaria	PROPN	Aquaria
tenter	VERB	tenter
une	DET	un
se	PRON	se
Noël	PROPN	Noël
inquiétude	NOUN	inquiétude
pas	ADV	pas
qui	PRON	qui
était	AUX	être
Mais	CCONJ	mais
avoir	AUX	avoir
je	PRON	je
du	ADP	de
geste	NOUN	geste
de	ADP	de
Il	PRON	il
déconcerté	VERB	déconcerter
Shari	PROPN	Shari
il	PRON	il
torturés	VERB	torturer
sec	ADJ	sec
du	ADP	de
portait	VERB	porter
elle-même	PRON	lui-même
serait	AUX	être
le	DET	le
mais	CCONJ	mais
prenant	VERB	prendre
ait	AUX	avoir
pour	ADP	pour
mur	NOUN	mur
bouleversé	VERB	bouleverser
croyance	NOUN	croyance
vers	ADP	vers
Et	CCONJ	et
Hum	PROPN	Hum
sauvage	NOUN	sauvage
ton	NOUN	ton
manquait	VERB	manquer
route	NOUN	route
sûre	VERB	sûre
comme	ADP	comme
Il	PRON	il
la	DET	le
portefeuille	NOUN	portefeuille
de	ADP	de
somme	NOUN	somme
Shelton	PROPN	Shelton
corps	NOUN	corps
qu'	SCONJ	que
Et	CCONJ	et
certaine	ADJ	certain
ou	CCONJ	ou
la	DET	le
donnée	VERB	donner
cet	DET	ce
depuis	ADP	depuis
beaucoup	ADV	beaucoup
rongeurs	NOUN	rongeur
cocotte	PROPN	cocotte
veste	ADJ	vest
puis	CCONJ	puis
Je	PRON	je
Démas	PROPN	Démas
obtention	NOUN	obtention
lui	PRON	lui
se	PRON	se
les	DET	le
Il	PRON	il
jusqu'	ADP	jusque
surprise	NOUN	surprise
tapageuse	ADJ	tapageur
mou	NOUN	mou
gouvernante	NOUN	gouvernante
avant	ADP	avant
en	ADP	en
on	PRON	on
la	DET	le
effluves	NOUN	effluve
gorge	NOUN	gorge
en	ADP	en
Laure	PROPN	Laure
et	CCONJ	et
un	DET	un
longue	ADJ	long
Pour	ADP	pour
vaut	VERB	valoir
fit	NOUN	fit
ou	CCONJ	ou
Il	PRON	il
pays	NOUN	pays
pour	ADP	pour
gréco-latin	ADJ	gréco-latin
de	ADP	de
eus	ADP	eus
un	DET	un
qu'	SCONJ	que
il	PRON	il
la	DET	le
moralité	NOUN	moralité
techniques	ADJ	technique
planait	VERB	planer
voit	VERB	voir
va	VERB	aller
le	DET	le
sont	AUX	être
même	ADV	même
escalier	NOUN	escalier
Clay	PROPN	Clay
raclait	VERB	racler
tout	ADJ	tout
seuls	ADJ	seul
façon	NOUN	façon
menti	ADJ	menti
elle	PRON	lui
lut	PROPN	lut
pas	ADV	pas
quelques	DET	quelque
Gabrielle	PROPN	Gabrielle
était	AUX	être
baragouin	NOUN	baragouin
Arnold	PROPN	Arnold
une	DET	un
accablé	VERB	accabler
de	ADP	de
porte	VERB	porte
visage	NOUN	visage
plus	ADV	plus
Il	PRON	il
il	PRON	il
une	DET	un
ni	CCONJ	ni
circonstance	NOUN	circonstance
se	PRON	se
consolée	ADJ	consoler
dont	PRON	dont
surbaissé	VERB	surbaisser
sans	ADP	sans
Nafa	PROPN	Nafa
ses	DET	son
Peut	ADV	peut
quelqu'	DET	quelque
couleurs	NOUN	couleur
sans	ADP	sans
en	PRON	en
et	CCONJ	et
Raquin	PROPN	Raquin
En	ADP	en
de	ADP	de
magnétoscope	NOUN	magnétoscope
leur	DET	leur
Sa	DET	son
il	PRON	il
seulement	ADV	seulement
leurs	DET	leur
elle	PRON	lui
lui	PRON	lui
il	PRON	il
vos	DET	votre
pensée	ADJ	penser
dans	ADP	dans
pour	ADP	pour
vers	ADP	vers
pour	ADP	pour
Philippe	PROPN	Philippe
ne	ADV	ne
est	AUX	être
se	PRON	se
de	ADP	de
Un	DET	un
même	ADV	même
sûr	ADJ	sûr
supérieure	ADJ	supérieur
occupants	NOUN	occupant
pasteur	NOUN	pasteur
toit	NOUN	toit
pour	ADP	pour
aux	ADP	à
suis	AUX	être
La	DET	le
transformer	VERB	transformer
était	AUX	être
un	DET	un
de	ADP	de
déménagé	VERB	déménager
alors	ADV	alors
groupes	NOUN	groupe
temps	NOUN	temps
une	DET	un
un	DET	un
sont	AUX	être
sa	DET	son
se	PRON	se
les	DET	le
quittant	NOUN	quittant
véritables	ADJ	véritable
valait	VERB	valoir
ses	DET	son
des	DET	un
cassé	ADJ	cassé
aussi	ADV	aussi
le	DET	le
Je	PRON	je
policiers	NOUN	policier
de	ADP	de
nous	PRON	nous
Comment	ADV	comment
est	AUX	être
toutes	DET	tout
escalier	NOUN	escalier
régnait	VERB	régner
bottes	NOUN	botte
pour	ADP	pour
mains	NOUN	main
réalité	NOUN	réalité
nourrissions	VERB	nourrir
laisser	VERB	laisser
une	DET	un
de	ADP	de
les	DET	le
Les	DET	le
et	CCONJ	et
bafouilla	VERB	bafouiller
qui	PRON	qui
dissimuleraient	VERB	dissimuler
Ramener	VERB	ramener
son	DET	son
Octave	ADJ	octav
une	DET	un
ai	AUX	avoir
temps1	NOUN	temps1
ce	PRON	ce
mains	NOUN	main
compromettante	ADJ	compromettant
homme	NOUN	homme
nuit	NOUN	nuit
atteinte	NOUN	atteinte
vous	PRON	vous
quand	SCONJ	quand
sommet	VERB	sommet
même	ADV	même
vivant	ADV	vivant
pourrez	VERB	pouvoir
Hucsha	PROPN	Hucsha
de	ADP	de
que	SCONJ	que
fusion	NOUN	fusion
